No,カラム名,カラム論理名,データ型,NULL有/無,主キー,パーティション定義,デフォルト値,元テーブル,元カラム,変換加工ロジック,更新方法,説明/備考
1,販社コード,販社コード,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbv0201m,cd_hansya,t201m.cd_hansya をそのまま取得,DROP TABLE IF EXISTS後、CREATE TABLE AS SELECTによる全件再作成,店舗マスタ側の販社識別コード。受注データ、表示対象店舗、ゾーン、車名、支払区分など複数テーブルとのJOIN条件にも使用される。
2,会社コード,会社コード,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbv0201m,cd_kaisya,t201m.cd_kaisya をそのまま取得,DROP TABLE IF EXISTS後、CREATE TABLE AS SELECTによる全件再作成,店舗マスタ側の会社識別コード。受注データ、表示対象店舗、ゾーン、車名、支払区分など複数テーブルとのJOIN条件にも使用される。
3,ゾーン名称,ゾーン名称,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbv0033m,kj_zonmei,tbv0201mの店舗に対し、tbv0047m.cd_nczonを経由してtbv0033mをLEFT JOINし、tbv0033m.kj_zonmei を取得,DROP TABLE IF EXISTS後、CREATE TABLE AS SELECTによる全件再作成,店舗に紐づくゾーン名称。LEFT JOINのため、ゾーンマスタに一致しない場合はNULLになる可能性がある。
4,ゾーンコード,ゾーンコード,STRING,無,なし,なし,なし,ai21rep_ve_dx.tbv0033m / ai21rep_ve_dx.tbv0047m,"cd_zon, kj_zonmei, cd_nczon",tbv0047m.cd_nczonをキーにtbv0033mをLEFT JOINし、tbv0033m.cd_zonとtbv0033m.kj_zonmeiのNULL・空白状態に応じて補完。ゾーンコードもゾーン名称も空の場合は'999999'、ゾーンコードが空でゾーン名称がある場合は'999998'、ゾーンコードがありゾーン名称が空の場合は'999999'、それ以外はtbv0033m.cd_zonを設定,DROP TABLE IF EXISTS後、CREATE TABLE AS SELECTによる全件再作成,ゾーンコード。SQL上は補完値または元ゾーンコードが設定されるためNULLなしとして整理。
5,店舗短縮名称,店舗短縮名称,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbv0201m,kj_tentanms,t201m.kj_tentanms をそのまま取得,DROP TABLE IF EXISTS後、CREATE TABLE AS SELECTによる全件再作成,店舗の短縮名称。店舗別表示や集計単位に使用される。
6,新車車名,新車車名,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbbf001m / ai21rep_ve_dx.tbbf008m / ai21rep_ve_dx.tbba001g,"kj_kurumame, cd_ncsyamei, mj_syamei, mj_sinkysed, mj_gaihansy, mj_hantenkt","tbba001gの仕様情報（mj_sinkysed, mj_gaihansy, mj_hantenkt）をキーにtbbf008mをLEFT JOINし、tbbf008m.mj_syameiをキーにtbbf001mをLEFT JOINして、tbbf001m.kj_kurumame を取得。さらにtbi999008mへのLEFT SEMI JOINにより表示対象車名に絞り込み",DROP TABLE IF EXISTS後、CREATE TABLE AS SELECTによる全件再作成,新車の車名。表示対象車名に絞り込まれるが、元マスタ値に依存するためNULL可能性ありとして整理。
7,受注計上日,受注計上日,STRING,無,なし,なし,なし,ai21rep_ve_dx.tbba001g,dd_jucyuke,tbba001g.dd_jucyuke IS NOT NULL の受注データを対象に、CAST(tbba001g.dd_jucyuke AS DATE) により日付化して取得,DROP TABLE IF EXISTS後、CREATE TABLE AS SELECTによる全件再作成,受注を計上した日付。JOIN条件でdd_jucyuke IS NOT NULLを指定しているため、SQL意図上はNULLなしとして整理。
8,購入形態,購入形態,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbba056g / ai21rep_ve_dx.tbbg068m / ai21rep_ve_dx.tbbf001m,"mj_jucyuk11, mj_jucyuke4, cd_kotaem1～cd_kotaem20, kb_syasikib",WITH句tbbg068mでcd_kotaem1～cd_kotaem20をsearchKey='01'～'20'の縦持ちに変換。tbbf001m.kb_syasikib='6'の場合はtbba056g.mj_jucyuk11をsearchKeyとして問題コード'111'の回答値を取得し、それ以外はtbba056g.mj_jucyuke4をsearchKeyとして問題コード'104'の回答値を取得。空文字の場合はNULLに変換,DROP TABLE IF EXISTS後、CREATE TABLE AS SELECTによる全件再作成,購入形態を示す回答値。回答マスタに一致しない場合や回答値が空文字の場合はNULLになる。
9,法人個人区分,法人個人区分,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbba051g,kb_seibetu,tbba051g.kb_kokyaku='2'の顧客属性をLEFT JOINし、kb_seibetu='1'を'男'、'2'を'女'、'3'を'法人'へ変換。それ以外はNULL,DROP TABLE IF EXISTS後、CREATE TABLE AS SELECTによる全件再作成,顧客の法人・個人および性別区分。該当しないコードまたはJOIN不一致の場合はNULLになる。
10,年齢別,年齢別,STRING,無,なし,なし,なし,ai21rep_ve_dx.tbba051g,nu_nenrei,tbba051g.nu_nenreiを年代別に分類。60以上は'60歳以上'、50以上は'50歳代'、40以上は'40歳代'、30以上は'30歳代'、それ以外は'29歳以下'を設定,DROP TABLE IF EXISTS後、CREATE TABLE AS SELECTによる全件再作成,年齢を年代区分に変換した項目。SQL上はELSEで'29歳以下'が設定されるためNULLなしとして整理。ただしnu_nenreiがNULLの場合も'29歳以下'に分類される可能性がある。
