No,カラム名,カラム論理名,データ型,NULL有/無,主キー,パーティション定義,デフォルト値,元テーブル,元カラム,変換加工ロジック,更新方法,説明/備考
1,販社コード,販社コード,STRING,有,なし,なし,なし,dx_ve.vbi017001 / dx_ve.vbi017002,cd_hansya,vbi017001とvbi017002をUNION ALLで縦結合後、cd_hansyaをGROUP BYし、外側SELECTで t.cd_hansya を取得,DROP TABLE IF EXISTS後、CREATE TABLE AS SELECTによる全件再作成,販社を識別するコード。tbi999003mとのJOIN条件、およびソート順のPARTITION BYにも使用される。元カラムのNULL制約が不明なためNULL有として整理。
2,会社コード,会社コード,STRING,有,なし,なし,なし,dx_ve.vbi017001 / dx_ve.vbi017002,cd_kaisya,vbi017001とvbi017002をUNION ALLで縦結合後、cd_kaisyaをGROUP BYし、外側SELECTで t.cd_kaisya を取得,DROP TABLE IF EXISTS後、CREATE TABLE AS SELECTによる全件再作成,会社を識別するコード。tbi999003mとのJOIN条件、およびソート順のPARTITION BYにも使用される。元カラムのNULL制約が不明なためNULL有として整理。
3,店舗コード,店舗コード,STRING,有,なし,なし,なし,dx_ve.vbi017001 / dx_ve.vbi017002,cd_tenpo,vbi017001とvbi017002をUNION ALLで縦結合後、cd_tenpoをGROUP BYし、外側SELECTで t.cd_tenpo を取得,DROP TABLE IF EXISTS後、CREATE TABLE AS SELECTによる全件再作成,店舗を識別するコード。tbi999003mとのINNER JOINにより、帳票ID017の表示対象店舗に絞り込まれる。元カラムのNULL制約が不明なためNULL有として整理。
4,店舗名称,店舗名称,STRING,有,なし,なし,なし,dx_ve.vbi017001 / dx_ve.vbi017002,kj_tenpomei,vbi017001とvbi017002をUNION ALLで縦結合後、kj_tenpomeiをGROUP BYし、外側SELECTで t.kj_tenpomei を取得,DROP TABLE IF EXISTS後、CREATE TABLE AS SELECTによる全件再作成,店舗コードに対応する店舗名称。元カラムのNULL制約が不明なためNULL有として整理。
5,販売スタッフコード,販売スタッフコード,STRING,有,なし,なし,なし,dx_ve.vbi017001 / dx_ve.vbi017002,cd_hanstaff,vbi017001とvbi017002をUNION ALLで縦結合後、cd_hanstaffをGROUP BYし、外側SELECTで t.cd_hanstaff を取得,DROP TABLE IF EXISTS後、CREATE TABLE AS SELECTによる全件再作成,販売スタッフを識別するコード。店舗・スタッフ・月単位の集計キー。元カラムのNULL制約が不明なためNULL有として整理。
6,社員名,社員名,STRING,有,なし,なし,なし,dx_ve.vbi017001 / dx_ve.vbi017002,kj_syainmei,vbi017001とvbi017002をUNION ALLで縦結合後、kj_syainmeiをGROUP BYし、外側SELECTで t.kj_syainmei を取得,DROP TABLE IF EXISTS後、CREATE TABLE AS SELECTによる全件再作成,販売スタッフコードに対応する社員名。元カラムのNULL制約が不明なためNULL有として整理。
7,月,月,STRING,有,なし,なし,なし,dx_ve.vbi017001 / dx_ve.vbi017002,month,vbi017001とvbi017002をUNION ALLで縦結合後、monthをGROUP BYし、外側SELECTで t.month を取得,DROP TABLE IF EXISTS後、CREATE TABLE AS SELECTによる全件再作成,実績対象月。店舗・スタッフ・月単位の集計キー。元カラムのNULL制約が不明なためNULL有として整理。
8,受注,受注,STRING,有,なし,なし,なし,dx_ve.vbi017001 / dx_ve.vbi017002,su_jucyu,受注系データvbi017001ではsu_jucyuを取得し、販売系データvbi017002側では0を設定。UNION ALL後、店舗・スタッフ・月単位でSUM(su_jucyu)を算出し、外側SELECTで t.su_jucyu を取得,DROP TABLE IF EXISTS後、CREATE TABLE AS SELECTによる全件再作成,受注実績。SUM対象の元値にNULLが含まれる可能性があり、NVL補完はされていないためNULL有として整理。
9,受注キャンセル反映,受注キャンセル反映,STRING,有,なし,なし,なし,dx_ve.vbi017001 / dx_ve.vbi017002,su_jucyucancelhane,受注系データvbi017001ではsu_jucyucancelhaneを取得し、販売系データvbi017002側では0を設定。UNION ALL後、店舗・スタッフ・月単位でSUM(su_jucyucancelhane)を算出,DROP TABLE IF EXISTS後、CREATE TABLE AS SELECTによる全件再作成,キャンセル反映後の受注実績。SUM対象の元値にNULLが含まれる可能性があり、NVL補完はされていないためNULL有として整理。
10,受注除軽,受注除軽,STRING,有,なし,なし,なし,dx_ve.vbi017001 / dx_ve.vbi017002,su_jucyujyokei,受注系データvbi017001ではsu_jucyujyokeiを取得し、販売系データvbi017002側では0を設定。UNION ALL後、店舗・スタッフ・月単位でSUM(su_jucyujyokei)を算出,DROP TABLE IF EXISTS後、CREATE TABLE AS SELECTによる全件再作成,軽を除いた受注実績と考えられる項目。正式な業務定義は元テーブル定義の確認が必要。NVL補完はされていないためNULL有として整理。
11,受注除軽キャンセル反映,受注除軽キャンセル反映,STRING,有,なし,なし,なし,dx_ve.vbi017001 / dx_ve.vbi017002,su_jucyucanceljyokeihane,受注系データvbi017001ではsu_jucyucanceljyokeihaneを取得し、販売系データvbi017002側では0を設定。UNION ALL後、店舗・スタッフ・月単位でSUM(su_jucyucanceljyokeihane)を算出,DROP TABLE IF EXISTS後、CREATE TABLE AS SELECTによる全件再作成,軽を除きキャンセルを反映した受注実績と考えられる項目。正式な業務定義は元テーブル定義の確認が必要。NVL補完はされていないためNULL有として整理。
12,販売,販売,STRING,有,なし,なし,なし,dx_ve.vbi017001 / dx_ve.vbi017002,su_hanbai,受注系データvbi017001側では0を設定し、販売系データvbi017002ではsu_hanbaiを取得。UNION ALL後、店舗・スタッフ・月単位でSUM(su_hanbai)を算出,DROP TABLE IF EXISTS後、CREATE TABLE AS SELECTによる全件再作成,販売実績。SUM対象の元値にNULLが含まれる可能性があり、NVL補完はされていないためNULL有として整理。
13,販売キャンセル反映,販売キャンセル反映,STRING,有,なし,なし,なし,dx_ve.vbi017001 / dx_ve.vbi017002,su_hanbaicancelhane,受注系データvbi017001側では0を設定し、販売系データvbi017002ではsu_hanbaicancelhaneを取得。UNION ALL後、店舗・スタッフ・月単位でSUM(su_hanbaicancelhane)を算出,DROP TABLE IF EXISTS後、CREATE TABLE AS SELECTによる全件再作成,キャンセル反映後の販売実績。SUM対象の元値にNULLが含まれる可能性があり、NVL補完はされていないためNULL有として整理。
