No,カラム名,カラム論理名,データ型,NULL有/無,主キー,パーティション定義,デフォルト値,元テーブル,元カラム,変換加工ロジック,説明/備考
1,販社コード,販社コード,STRING,有,なし,なし,なし,dx_ve.vbi017001 / dx_ve.vbi017002,cd_hansya,受注系テーブル vbi017001 と販売系テーブル vbi017002 を UNION ALL した後、cd_hansya を GROUP BY キーとして集計し、外側SELECTで t.cd_hansya を設定。,販社単位の識別コード。最終的に dx_ve.tbi999003m の帳票ID '017'、表示対象 kb_tenji = 1 の店舗に限定される。
2,会社コード,会社コード,STRING,有,なし,なし,なし,dx_ve.vbi017001 / dx_ve.vbi017002,cd_kaisya,受注系テーブル vbi017001 と販売系テーブル vbi017002 を UNION ALL した後、cd_kaisya を GROUP BY キーとして集計し、外側SELECTで t.cd_kaisya を設定。,会社単位の識別コード。
3,店舗コード,店舗コード,STRING,有,なし,なし,なし,dx_ve.vbi017001 / dx_ve.vbi017002,cd_tenpo,受注系テーブル vbi017001 と販売系テーブル vbi017002 を UNION ALL した後、cd_tenpo を GROUP BY キーとして集計し、外側SELECTで t.cd_tenpo を設定。,店舗単位の識別コード。ソート順のORDER BYにも使用される。
4,店舗名称,店舗名称,STRING,有,なし,なし,なし,dx_ve.vbi017001 / dx_ve.vbi017002,kj_tenpomei,受注系・販売系の両テーブルから kj_tenpomei を取得し、GROUP BY キーとして集計した後、外側SELECTで t.kj_tenpomei を設定。,店舗名称。前段テーブル側で末尾全角スペース除去済みの想定。
5,販売スタッフコード,販売スタッフコード,STRING,有,なし,なし,なし,dx_ve.vbi017001 / dx_ve.vbi017002,cd_hanstaff,受注系・販売系の両テーブルから cd_hanstaff を取得し、GROUP BY キーとして集計した後、外側SELECTで t.cd_hanstaff を設定。,販売スタッフ単位の識別コード。
6,社員名,社員名,STRING,有,なし,なし,なし,dx_ve.vbi017001 / dx_ve.vbi017002,kj_syainmei,受注系・販売系の両テーブルから kj_syainmei を取得し、GROUP BY キーとして集計した後、外側SELECTで t.kj_syainmei を設定。,販売スタッフの社員名。前段テーブル側で末尾全角スペース除去済みの想定。
7,月,月区分,STRING,有,なし,なし,なし,dx_ve.vbi017001 / dx_ve.vbi017002,month,受注系・販売系の両テーブルから month を取得し、GROUP BY キーとして集計した後、外側SELECTで t.month を設定。,当月/前月などの月区分。判定ロジックは前段の vbi017001 / vbi017002 側で作成済み。
8,受注,受注数,STRING,有,なし,なし,なし,dx_ve.vbi017001,su_jucyu,vbi017001 側の su_jucyu を取り込み、vbi017002 側では 0 を補完。中間集計で SUM(su_jucyu) を算出し、外側SELECTで t.su_jucyu を設定。,受注系指標。DDL上はSTRINGだが、SQLではSUM結果のため数値型として推論される可能性あり。
9,受注キャンセル反映,受注キャンセル反映数,STRING,有,なし,なし,なし,dx_ve.vbi017001,su_jucyucancelhane,vbi017001 側の su_jucyucancelhane を取り込み、vbi017002 側では 0 を補完。中間集計で SUM(su_jucyucancelhane) を算出し、外側SELECTで t.su_jucyucancelhane を設定。,受注数から受注取消を反映した指標。前段 vbi017001 の計算結果を利用。
10,受注除軽,受注除軽数,STRING,有,なし,なし,なし,dx_ve.vbi017001,su_jucyujyokei,vbi017001 側の su_jucyujyokei を取り込み、vbi017002 側では 0 を補完。中間集計で SUM(su_jucyujyokei) を算出し、外側SELECTで t.su_jucyujyokei を設定。,軽区分を除外した受注系指標。前段 vbi017001 の計算結果を利用。
11,受注除軽キャンセル反映,受注除軽キャンセル反映数,STRING,有,なし,なし,なし,dx_ve.vbi017001,su_jucyucanceljyokeihane,vbi017001 側の su_jucyucanceljyokeihane を取り込み、vbi017002 側では 0 を補完。中間集計で SUM(su_jucyucanceljyokeihane) を算出し、外側SELECTで t.su_jucyucanceljyokeihane を設定。,軽区分除外後の受注数にキャンセルを反映した指標。前段 vbi017001 の計算結果を利用。
12,販売,販売数,STRING,有,なし,なし,なし,dx_ve.vbi017002,su_hanbai,vbi017002 側の su_hanbai を取り込み、vbi017001 側では 0 を補完。中間集計で SUM(su_hanbai) を算出し、外側SELECTで t.su_hanbai を設定。,販売系指標。DDL上はSTRINGだが、SQLではSUM結果のため数値型として推論される可能性あり。
13,販売キャンセル反映,販売キャンセル反映数,STRING,有,なし,なし,なし,dx_ve.vbi017002,su_hanbaicancelhane,vbi017002 側の su_hanbaicancelhane を取り込み、vbi017001 側では 0 を補完。中間集計で SUM(su_hanbaicancelhane) を算出し、外側SELECTで t.su_hanbaicancelhane を設定。,販売数から販売取消を反映した指標。前段 vbi017002 の計算結果を利用。
14,販売除軽,販売除軽数,STRING,有,なし,なし,なし,dx_ve.vbi017002,su_hanbaijyokei,vbi017002 側の su_hanbaijyokei を取り込み、vbi017001 側では 0 を補完。中間集計で SUM(su_hanbaijyokei) を算出し、外側SELECTで t.su_hanbaijyokei を設定。,軽区分を除外した販売系指標。前段 vbi017002 の計算結果を利用。
15,販売除軽キャンセル反映,販売除軽キャンセル反映数,STRING,有,なし,なし,なし,dx_ve.vbi017002,su_hanbaicanceljyokeihene,vbi017002 側の su_hanbaicanceljyokeihene を取り込み、vbi017001 側では 0 を補完。中間集計で SUM(su_hanbaicanceljyokeihene) を算出し、外側SELECTで t.su_hanbaicanceljyokeihene を設定。,軽区分除外後の販売数にキャンセルを反映した指標。元カラム名は `hane` ではなく `hene` になっている点に注意。
16,割賦,割賦数,STRING,有,なし,なし,なし,dx_ve.vbi017001,su_kap,vbi017001 側の su_kap を取り込み、vbi017002 側では 0 を補完。中間集計で SUM(su_kap) を算出し、外側SELECTで t.su_kap を設定。,受注系テーブルから引き継ぐ割賦件数。販売系テーブル側では補完値0。
17,メンテナンスパック,メンテナンスパック数,STRING,有,なし,なし,なし,dx_ve.vbi017001,su_maintenancepack,vbi017001 側の su_maintenancepack を取り込み、vbi017002 側では 0 を補完。中間集計で SUM(su_maintenancepack) を算出し、外側SELECTで t.su_maintenancepack を設定。,受注系テーブルから引き継ぐメンテナンスパック件数。販売系テーブル側では補完値0。
18,下取り,下取数,STRING,有,なし,なし,なし,dx_ve.vbi017001,su_sitadori,vbi017001 側の su_sitadori を取り込み、vbi017002 側では 0 を補完。中間集計で SUM(su_sitadori) を算出し、外側SELECTで t.su_sitadori を設定。,受注系テーブルから引き継ぐ下取件数。販売系テーブル側では補完値0。
19,ソート順,店舗表示ソート順,STRING,有,なし,なし,なし,dx_ve.tbi999003m / 集計結果 t,mj_sortjyun / cd_tenpo,"dx_ve.tbi999003m と集計結果 t を販社・会社・店舗で結合し、rank() OVER (PARTITION BY t.cd_hansya, t.cd_kaisya ORDER BY tbi999003m.mj_sortjyun, t.cd_tenpo) により採番。",帳票ID '017'、表示対象 kb_tenji = 1 の店舗表示順。DDL上はSTRINGだが、SQLではRANK結果のため数値型として推論される可能性あり。
