No,カラム名,カラム論理名,データ型,NULL有/無,主キー,パーティション定義,デフォルト値,元テーブル,元カラム,変換加工ロジック,説明/備考
1,店舗数,店舗数,STRING,有,なし,なし,なし,dx_ve.vbi013001_en,su_store,su_store AS `店舗数` により、元カラムを日本語名にリネームして取得,店舗1件を表すカウント用項目。vbi013001_en側で固定値1として生成済み。
2,販社会社店舗コード,販社会社店舗コード,STRING,有,なし,なし,なし,dx_ve.vbi013001_en,cd_hansya_kaisya_tenpo,cd_hansya_kaisya_tenpo AS `販社会社店舗コード` により、元カラムを日本語名にリネームして取得,販社コード・会社コード・店舗コードを連結した店舗識別用コード。
3,販社会社ゾーン店舗コード,販社会社ゾーン店舗コード,STRING,有,なし,なし,なし,dx_ve.vbi013001_en,cd_hansya_kaisya_zon_tenpo,cd_hansya_kaisya_zon_tenpo AS `販社会社ゾーン店舗コード` により、元カラムを日本語名にリネームして取得,販社コード・会社コード・ゾーンコード・店舗コードを連結した表示/集計用コード。
4,販社コード,販社コード,STRING,有,なし,なし,なし,dx_ve.vbi013001_en,cd_hansya,cd_hansya AS `販社コード` により、元カラムを日本語名にリネームして取得,店舗に紐づく販社コード。
5,会社コード,会社コード,STRING,有,なし,なし,なし,dx_ve.vbi013001_en,cd_kaisya,cd_kaisya AS `会社コード` により、元カラムを日本語名にリネームして取得,店舗に紐づく会社コード。
6,店舗コード,店舗コード,STRING,有,なし,なし,なし,dx_ve.vbi013001_en,cd_tenpo,cd_tenpo AS `店舗コード` により、元カラムを日本語名にリネームして取得,店舗を識別するコード。
7,店舗名称,店舗名称,STRING,有,なし,なし,なし,dx_ve.vbi013001_en,kj_tenpomei,kj_tenpomei AS `店舗名称` により、元カラムを日本語名にリネームして取得,店舗の正式名称。vbi013001_en側で廃止店舗名を含むデータは除外済み。
8,店舗短縮名称,店舗短縮名称,STRING,有,なし,なし,なし,dx_ve.vbi013001_en,kj_tentanms,kj_tentanms AS `店舗短縮名称` により、元カラムを日本語名にリネームして取得,店舗の短縮名称。
9,ゾーンコード,ゾーンコード,STRING,有,なし,なし,なし,dx_ve.vbi013001_en,cd_zon,cd_zon AS `ゾーンコード` により、元カラムを日本語名にリネームして取得,ゾーンコード。vbi013001_en側でゾーン名なしの場合は999999、ゾーンコードなしの場合は999998に補完済み。
10,ゾーンコード1,ゾーンコード1,STRING,有,なし,なし,なし,dx_ve.vbi013001_en,cd_nczon,cd_nczon AS `ゾーンコード1` により、元カラムを日本語名にリネームして取得,NCゾーンコードまたは個別店舗ゾーンコード。vbi013001_en側で生成済み。
11,ゾーン名,ゾーン名,STRING,有,なし,なし,なし,dx_ve.vbi013001_en,kj_zonmei,kj_zonmei AS `ゾーン名` により、元カラムを日本語名にリネームして取得,ゾーン名称。vbi013001_en側で個別店舗ゾーン名称を優先し、なければNCゾーン名称を使用。
12,ゾーン名(略),ゾーン名(略),STRING,有,なし,なし,なし,dx_ve.vbi013001_en,zone_name,zone_name AS `ゾーン名(略)` により、元カラムを日本語名にリネームして取得,表示用に整形されたゾーン名。vbi013001_en側で特殊名称整形や空白置換が実施済み。
13,ソート順,ソート順,STRING,有,なし,なし,なし,dx_ve.vbi013001_en,mj_sortjyun,mj_sortjyun AS `ソート順` により、元カラムを日本語名にリネームして取得,販社・会社単位でゾーン、帳票表示順、店舗コードの順に採番された表示順。SQL上はvbi013001_en側のRANK結果だが、DDL上はSTRING。
