No,カラム名,カラム論理名,データ型,NULL有/無,主キー,パーティション定義,デフォルト値,元テーブル,元カラム,変換加工ロジック,説明/備考
1,ソート順,ソート順,STRING,有,なし,なし,なし,dx_ve.vbi003003,mj_sortjyun,v3003.mj_sortjyun を `ソート順` として出力。,ストール・店舗・日付単位の表示順。上流のvbi003003側で生成済み。
2,販社コード,販社コード,STRING,有,なし,なし,なし,dx_ve.vbi003003,cd_hansya,v3003.cd_hansya を `販社コード` として出力。,販社を識別するコード。
3,会社コード,会社コード,STRING,有,なし,なし,なし,dx_ve.vbi003003,cd_kaisya,v3003.cd_kaisya を `会社コード` として出力。,会社を識別するコード。
4,店舗コード,店舗コード,STRING,有,なし,なし,なし,dx_ve.vbi003003,cd_tenpo,v3003.cd_tenpo を `店舗コード` として出力。,店舗を識別するコード。
5,販社会社店舗コード,販社会社店舗コード,STRING,有,なし,なし,なし,dx_ve.vbi003003,"cd_hansya, cd_kaisya, cd_tenpo","concat(v3003.cd_hansya, v3003.cd_kaisya, v3003.cd_tenpo) により連結して出力。",販社・会社・店舗を連結した店舗単位の識別コード。
6,エリアコード,エリアコード,STRING,有,なし,なし,なし,dx_ve.vbi003003,cd_zon,v3003.cd_zon を `エリアコード` として出力。,エリア・ゾーンを識別するコード。上流のvbi003003側ではvbi003002由来のゾーンコードを保持。
7,エリア名,エリア名,STRING,有,なし,なし,なし,dx_ve.vbi003003,kj_zonmei,v3003.kj_zonmei を `エリア名` として出力。,エリア・ゾーン名称。
8,店舗名,店舗名,STRING,有,なし,なし,なし,dx_ve.vbi003003,kj_tenpomei,v3003.kj_tenpomei を `店舗名` として出力。,店舗名称。
9,ストール番号,ストール番号,STRING,有,なし,なし,なし,dx_ve.vbi003003,no_stall,v3003.no_stall を `ストール番号` として出力。,ストールを識別する番号。
10,ストール名称,ストール名称,STRING,有,なし,なし,なし,dx_ve.vbi003003,mj_stallmei,v3003.mj_stallmei を `ストール名称` として出力。,ストール名称。
11,販社会社店舗ストール番号日付,販社会社店舗ストール番号日付,STRING,有,なし,なし,なし,dx_ve.vbi003003,cd_hansyakaisyatenpostalldate,v3003.cd_hansyakaisyatenpostalldate を `販社会社店舗ストール番号日付` として出力。,販社・会社・店舗・ストール番号・日付を連結した、ストール×日付単位の識別用コード。
12,ストール選択,ストール選択,STRING,有,なし,なし,なし,dx_ve.vbi003003,kb_stallsentaku,v3003.kb_stallsentaku を `ストール選択` として出力。,ストール番号とストール名称を連結した表示・選択用項目。
13,日付,日付,STRING,有,なし,なし,なし,dx_ve.vbi003003,dd_date,v3003.dd_date を `日付` として出力。,対象日付。上流のvbi003003側ではvbi003001_en由来の14日分カレンダー日付を保持。
14,定内規定,定内規定,STRING,有,なし,なし,なし,dx_ve.vbi003003,kb_teinaikitei,v3003.kb_teinaikitei を `定内規定` として出力。,日別の稼働/非稼働状態を反映した定内規定値。上流のvbi003003側で休業判定を考慮して算出済み。
15,予約,予約,STRING,有,なし,なし,なし,dx_ve.vbi003006_en,mj_yoyaku,"vbi003006_enを販社コード・会社コード・店舗コード・ストール番号・入庫予定日でGROUP BYし、sum(v3006.mj_yoyaku) を算出。vbi003003にLEFT JOINし、一致しない場合は nvl(..., 0) により0を出力。",ストール×日付単位の予約時間相当の集計値。DDL上はSTRINGだが、SQL上はSUMおよびNVL結果の数値になる可能性がある。
