No,カラム名,カラム論理名,データ型,NULL有/無,主キー,パーティション定義,デフォルト値,元テーブル,元カラム,変換加工ロジック,更新方法,説明/備考
1,販社コード,販社コード,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbv0201m,cd_hansya,t201m.cd_hansya をそのまま取得,DROP TABLE IF EXISTS後、CREATE TABLE AS SELECTによる全件再作成,店舗マスタ側の販社識別コード。newcar集計結果とのJOIN条件にも使用される。
2,会社コード,会社コード,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbv0201m,cd_kaisya,t201m.cd_kaisya をそのまま取得,DROP TABLE IF EXISTS後、CREATE TABLE AS SELECTによる全件再作成,店舗マスタ側の会社識別コード。newcar集計結果とのJOIN条件にも使用される。
3,店舗コード,店舗コード,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbv0201m,cd_tenpo,t201m.cd_tenpo をそのまま取得,DROP TABLE IF EXISTS後、CREATE TABLE AS SELECTによる全件再作成,店舗を識別するコード。newcar集計結果とのJOIN条件にも使用される。
4,販社会社店舗,販社会社店舗,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbv0201m,"cd_hansya, cd_kaisya, cd_tenpo","CONCAT(t201m.cd_hansya, t201m.cd_kaisya, t201m.cd_tenpo) により、販社コード・会社コード・店舗コードを連結",DROP TABLE IF EXISTS後、CREATE TABLE AS SELECTによる全件再作成,販社・会社・店舗をまとめて識別するための分析用キー。元項目にNULLがある場合は結果がNULLになる可能性がある。
5,新車下取数,新車下取数,STRING,無,なし,なし,なし,ai21rep_ve_dx.tbba001g / ai21rep_ve_dx.tbba003g / ai21rep_ve_dx.tbbg168g,"calflg, tbba003g_1.新車下取数, dd_uriagekj, dd_uritrkkj, dd_torokei","newcarサブクエリで、注文データを当月対象に絞り、発生側を calflg=1、取消・戻し側を calflg=-1 として作成。tbba003gで kb_sincyu='1' の下取が1件以上ある注文のみ calflg を集計し、最終SELECTで NVL(newcar.新車下取数, 0) によりNULLを0へ補完",DROP TABLE IF EXISTS後、CREATE TABLE AS SELECTによる全件再作成,店舗別の新車下取件数。提示SQL上はNVLにより集計結果がない店舗も0で出力される。
6,新車入会数,新車入会数,STRING,無,なし,なし,なし,ai21rep_ve_dx.tbba001g / ai21rep_ve_dx.tbba052g / ai21rep_ve_dx.tbbg168g,"calflg, kb_mntpkkei, dd_uriagekj, dd_uritrkkj, dd_torokei","newcarサブクエリで、tbba052g.kb_mntpkkei の全角・半角スペースを除去した結果が空文字でない場合に calflg を集計。最終SELECTで NVL(newcar.入会数, 0) によりNULLを0へ補完",DROP TABLE IF EXISTS後、CREATE TABLE AS SELECTによる全件再作成,店舗別の新車入会件数。入会判定は kb_mntpkkei に値があるかどうかで行われている。
7,新車直販数,新車直販数,STRING,無,なし,なし,なし,ai21rep_ve_dx.tbba001g / ai21rep_ve_dx.tbba056g / ai21rep_ve_dx.tbbg168g,"calflg, kb_gyocyok, dd_uriagekj, dd_uritrkkj, dd_torokei","newcarサブクエリで、tbba056g.kb_gyocyok='1' の場合に calflg を集計。最終SELECTで NVL(newcar.直販数, 0) によりNULLを0へ補完",DROP TABLE IF EXISTS後、CREATE TABLE AS SELECTによる全件再作成,店舗別の新車直販件数。直販判定は kb_gyocyok='1' に基づく。
8,直販下取数,直販下取数,STRING,無,なし,なし,なし,ai21rep_ve_dx.tbba001g / ai21rep_ve_dx.tbba003g / ai21rep_ve_dx.tbba056g / ai21rep_ve_dx.tbbg168g,"calflg, tbba003g_1.新車下取数, kb_gyocyok, dd_uriagekj, dd_uritrkkj, dd_torokei","newcarサブクエリで、tbba056g.kb_gyocyok='1' かつ tbba003g_1.新車下取数 > 0 の場合に calflg を集計。最終SELECTで NVL(newcar.直販下取数, 0) によりNULLを0へ補完",DROP TABLE IF EXISTS後、CREATE TABLE AS SELECTによる全件再作成,店舗別の直販かつ下取ありの件数。
9,新車軽OEM数,新車軽OEM数,STRING,無,なし,なし,なし,ai21rep_ve_dx.tbba001g / ai21rep_ve_dx.tbbf008m / ai21rep_ve_dx.tbbf001m / ai21rep_ve_dx.tbbg168g,"calflg, mj_sinkysed, mj_gaihansy, mj_hantenkt, kn_kei, dd_uriagekj, dd_uritrkkj, dd_torokei","newcarサブクエリで新車数を集計後、TBBF008M経由でTBBF001M.kn_keiを取得し、軽区分='1' の新車数のみ SUM(CASE WHEN 軽区分='1' THEN 新車数 ELSE 0 END) で集計。最終SELECTで NVL(newcar.新車軽OEM数, 0) によりNULLを0へ補完",DROP TABLE IF EXISTS後、CREATE TABLE AS SELECTによる全件再作成,店舗別の軽OEM扱いの新車件数。軽区分の正式な業務意味は元マスタ定義の確認が必要。
10,新車登録車数,新車登録車数,STRING,無,なし,なし,なし,ai21rep_ve_dx.tbba001g / ai21rep_ve_dx.tbbf008m / ai21rep_ve_dx.tbbf001m / ai21rep_ve_dx.tbbg168g,"calflg, mj_sinkysed, mj_gaihansy, mj_hantenkt, kn_kei, dd_uriagekj, dd_uritrkkj, dd_torokei","newcarサブクエリで新車数を集計後、TBBF008M経由でTBBF001M.kn_keiを取得し、NVL(軽区分,'') != '1' の新車数を SUM(CASE WHEN NVL(軽区分,'') != '1' THEN 新車数 ELSE 0 END) で集計。最終SELECTで NVL(newcar.新車登録車数, 0) によりNULLを0へ補完",DROP TABLE IF EXISTS後、CREATE TABLE AS SELECTによる全件再作成,店舗別の軽区分='1'以外の新車件数。SQL上は軽区分NULLも登録車数側に含まれる。
