No,カラム名,カラム論理名,データ型,NULL有/無,主キー,パーティション定義,デフォルト値,元テーブル,元カラム,変換加工ロジック,更新方法,説明/備考
1,販社コード,販社コード,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbv0201m,cd_hansya,t201m.cd_hansya をそのまま取得,DROP TABLE IF EXISTS後、CREATE TABLE AS SELECTによる全件再作成,店舗マスタ側の販社識別コード。表示対象店舗、新車受注、ゾーン、車名、下取車情報など複数テーブルとのJOIN条件にも使用される。
2,会社コード,会社コード,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbv0201m,cd_kaisya,t201m.cd_kaisya をそのまま取得,DROP TABLE IF EXISTS後、CREATE TABLE AS SELECTによる全件再作成,店舗マスタ側の会社識別コード。表示対象店舗、新車受注、ゾーン、車名、下取車情報など複数テーブルとのJOIN条件にも使用される。
3,店舗コード,店舗コード,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbv0201m,cd_tenpo,t201m.cd_tenpo をそのまま取得,DROP TABLE IF EXISTS後、CREATE TABLE AS SELECTによる全件再作成,店舗を識別するコード。tbi999003mとのINNER JOINにより帳票ID016の表示対象店舗に絞り込まれる。
4,ソート順,ソート順,STRING,無,なし,なし,なし,ai21rep_ve_dx.tbv0201m / ai21rep_ve_dx.tbv0033m / dx_ve.tbi999003m,"cd_hansya, cd_kaisya, kj_zonmei, kj_tentanms, cd_tenpo, mj_sortjyun","RANK() OVER (PARTITION BY t201m.cd_hansya,t201m.cd_kaisya ORDER BY IF(NVL(tbv0033m.kj_zonmei,'') = '', 0,1), tbv0033m.kj_zonmei, sort_sub.mj_sortjyun, t201m.cd_tenpo) により、販社・会社内の店舗表示順を算出",DROP TABLE IF EXISTS後、CREATE TABLE AS SELECTによる全件再作成,店舗・ゾーン表示用の順位。RANK関数で生成されるためNULLなしとして整理。共有SQLではsort_subサブクエリ内に構文上の不備があるが、意図としては表示順を算出する処理。
5,車名ソート順,車名ソート順,STRING,無,なし,なし,なし,dx_ve.tbi999008m / ai21rep_ve_dx.tbbf001m,"mj_sortjyun, cd_ncsyamei, kj_kurumame","RANK() OVER (PARTITION BY t201m.cd_hansya, t201m.cd_kaisya ORDER BY sort_car.mj_sortjyun, sort_car.cd_ncsyamei) により、販社・会社内の車名表示順を算出",DROP TABLE IF EXISTS後、CREATE TABLE AS SELECTによる全件再作成,車名表示用の順位。RANK関数で生成されるためNULLなしとして整理。共有SQLではsort_carサブクエリ内に構文上の不備があるが、意図としては車名の表示順を算出する処理。
6,店舗短縮名称,店舗短縮名称,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbv0201m,kj_tentanms,t201m.kj_tentanms をそのまま取得,DROP TABLE IF EXISTS後、CREATE TABLE AS SELECTによる全件再作成,店舗の短縮名称。画面・帳票上の店舗表示名として使用される項目と考えられる。
7,ゾーンコード,ゾーンコード,STRING,無,なし,なし,なし,ai21rep_ve_dx.tbv0033m / ai21rep_ve_dx.tbv0047m,"cd_zon, kj_zonmei, cd_nczon",tbv0047m.cd_nczonを経由してtbv0033mをLEFT JOINし、tbv0033m.cd_zonとtbv0033m.kj_zonmeiのNULL・空白状態に応じて補完。ゾーンコードもゾーン名称も空の場合は'999999'、ゾーンコードが空でゾーン名称がある場合は'999998'、ゾーンコードがありゾーン名称が空の場合は'999999'、それ以外はtbv0033m.cd_zonを設定,DROP TABLE IF EXISTS後、CREATE TABLE AS SELECTによる全件再作成,ゾーンコード。SQL上は補完値または元ゾーンコードが設定されるためNULLなしとして整理。
8,ゾーン名称,ゾーン名称,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbv0033m,kj_zonmei,tbv0201mの店舗に対し、tbv0047m.cd_nczonを経由してtbv0033mをLEFT JOINし、tbv0033m.kj_zonmei を取得,DROP TABLE IF EXISTS後、CREATE TABLE AS SELECTによる全件再作成,店舗に紐づくゾーン名称。LEFT JOINのため、ゾーンマスタに一致しない場合はNULLになる可能性がある。
9,注文ＮＯ,注文NO,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbba001g,no_cyumon,t201mの販社コード・会社コード・店舗コードをキーにtbba001gをINNER JOINし、tbba001g.no_cyumon を取得。対象はdd_uritrkkj IS NULL、dd_torikesi IS NULL、dd_jucyuke IS NOT NULLの受注データ,DROP TABLE IF EXISTS後、CREATE TABLE AS SELECTによる全件再作成,新車受注を識別する注文番号。INNER JOIN対象だが、元カラムのNULL制約が不明なためNULL有として整理。
10,新車車名,新車車名,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbbf001m / ai21rep_ve_dx.tbbf008m / ai21rep_ve_dx.tbba001g,"kj_kurumame, cd_ncsyamei, mj_syamei, mj_sinkysed, mj_gaihansy, mj_hantenkt","tbba001gの仕様情報（mj_sinkysed, mj_gaihansy, mj_hantenkt）をキーにtbbf008mをLEFT JOINし、tbbf008m.mj_syameiをキーにtbbf001mをLEFT JOINして、tbbf001m.kj_kurumame を取得。さらにtbi999008mへのINNER JOINにより表示対象車名に絞り込み",DROP TABLE IF EXISTS後、CREATE TABLE AS SELECTによる全件再作成,新車の車名。表示対象車名に絞り込まれるが、元マスタ値に依存するためNULL可能性ありとして整理。
